Entry,Gene ontology (biological process),Gene ontology (cellular component),Gene ontology (molecular function)
P49775,GO:0006259;GO:0090305;GO:0009164,GO:0005737;GO:0005739;GO:0005634,GO:0047710;GO:0016787;GO:0017111;GO:0000166
P53206,GO:0006535,GO:0005737;GO:0016021;GO:0005741;GO:0005739,GO:0004124;GO:0030170
P08678,GO:0007188;GO:0006171;GO:0007265,GO:0005829;GO:0005789;GO:0005739;GO:0005886,GO:0004016;GO:0005524;GO:0000287
P49573,GO:0006878;GO:0015677,GO:0005623;GO:0005737;GO:0016021;GO:0005634;GO:0005886,GO:0005375;GO:0042802
P06115,GO:0071472;GO:0042744;GO:0042542;GO:0000302,GO:0005737;GO:0005777,GO:0004096;GO:0020037;GO:0046872
Q03330,GO:0006325;GO:0006338;GO:0016573;GO:0032968,GO:0005671;GO:0000775;GO:0005829;GO:0005634;GO:0000124;GO:0046695,GO:0010484;GO:0004402;GO:0070577;GO:0003713
P14284,GO:0006260;GO:0000724;GO:0070987;GO:0042276;GO:0090305,GO:0005739;GO:0005634;GO:0016035,GO:0051539;GO:0003677;GO:0003887;GO:0046872;GO:0000166
P14832,GO:0030437;GO:0044267;GO:0016575;GO:0045836;GO:0042026;GO:0015031,GO:0005758;GO:0005739;GO:0005634;GO:0034967,GO:0016018;GO:0003729;GO:0003755;GO:0051082
Q8TGM1,,,
P0CL33,,GO:0016021,
Q6B108,,,
P53837,,,
P0C5R3,,,
Q12058,,,
Q08915,,GO:0016021,
P40584,,,
Q12394,,GO:0016021,
P0C5Q7,,,
Q08205,,GO:0016021,
P53302,,,
P90471,,GO:0016021,
A0A023PYC6,,GO:0016021,
O13557,,,
O13519,,,
Q04019,,,
P0C5R8,,GO:0016021,
Q8TGM9,,GO:0016021,
Q08681,,,
P0CF00,,,
Q08027,,GO:0016021,
P28626,,GO:0016021,
P38258,,GO:0016021,
Q08293,,,
Q08543,,,
P47094,,GO:0016021,
P0C5P8,,,
P0C5Q8,,,
P34760,GO:0045454;GO:0034605;GO:0071447;GO:0034599;GO:0061077;GO:0000077;GO:0042262;GO:0042744;GO:0090344;GO:0060548;GO:1903206;GO:0006457;GO:0051258;GO:0050821;GO:0006111;GO:0001302;GO:0033194;GO:0006979,GO:0005623;GO:0005737;GO:0005829;GO:0005844,GO:0042802;GO:0019207;GO:0051920;GO:0043022;GO:0008379;GO:0051082
Q8TGL2,,,
P53092,,,
P87268,,,
O94085,,GO:0016021,
P47004,,,
Q6B0V7,,,
O13583,,GO:0016021,
P38309,,,
P0C5E0,,GO:0016021,
P38275,,,
Q96VH1,,GO:0016021,
Q96VG5,,,
