Entry,Gene ontology (biological process),Gene ontology (cellular component),Gene ontology (molecular function)
P41057,GO:0002181,GO:0022627,GO:0003735;GO:0008270
P22803,GO:0045454;GO:0009263;GO:0006888;GO:0006749;GO:0006662;GO:0080058;GO:0015031;GO:0006890;GO:0000103;GO:0042144;GO:0000011,GO:0005623;GO:0005829;GO:0000139;GO:0005634,GO:0015036;GO:0015035
P41058,GO:0002181,GO:0022627,GO:0003735;GO:0008270
P53541,GO:0032120;GO:0046475;GO:0030474;GO:0070583,GO:0005737;GO:0005783;GO:0005789;GO:0005576;GO:0000324;GO:0016021;GO:0031965;GO:0005634;GO:0005886;GO:0005628,GO:0004623;GO:0004620
P46974,GO:0000122;GO:0045944;GO:0006355;GO:0006351,GO:0005737;GO:0000790;GO:0005634,GO:0003700;GO:0000981;GO:0043565;GO:0008270
Q3E785,GO:0016226;GO:0034553,GO:0005759;GO:0005739,
P00899,GO:0000162,GO:0005950;GO:0005737,GO:0004049;GO:0046872
P53823,GO:0006541;GO:0042823;GO:0008614;GO:0042819,GO:0005829;GO:1903600,GO:0004359;GO:0036381
P40468,GO:0007118;GO:0007114;GO:0000902,GO:0005938;GO:0005933;GO:0000131;GO:0043332;GO:0005739,
Q07084,GO:0000185;GO:0007234;GO:2000251;GO:0031954,GO:0005737;GO:1990315,GO:0031435;GO:0000156;GO:0000155;GO:0030295
Q04964,GO:0007049;GO:0034613;GO:0006974;GO:0007005;GO:0008156;GO:1905117,GO:0005737;GO:0005634,GO:1990846
P06105,GO:0043577;GO:0030466;GO:0006348;GO:0007059;GO:0045141;GO:0000750,GO:0005623;GO:0000781;GO:0005737;GO:0005783;GO:0005789;GO:0000329;GO:0031965;GO:0042175;GO:0005844,GO:0001965;GO:0003729;GO:0003723
Q01163,GO:0032543,GO:0005763;GO:0005739,GO:0005525;GO:0003735
Q06510,GO:0035965;GO:0032048;GO:0007007;GO:0042775;GO:0097250;GO:0008654,GO:0031307;GO:0005743;GO:0005758;GO:0005741;GO:0005739,GO:0047184
P33338,GO:0000147;GO:0007015;GO:0007121;GO:0048268;GO:0006897;GO:0006887;GO:0031505;GO:0034316;GO:0048260,GO:0030479;GO:0005935;GO:0005934;GO:0000131;GO:0016021;GO:0043231;GO:0043332;GO:0005886,GO:0051015;GO:0035615;GO:0030276;GO:0032051;GO:0043325;GO:0080025;GO:0035091
P12954,GO:0032508;GO:0042262;GO:1990986;GO:0006281;GO:0006303;GO:0045910;GO:2000042;GO:0032079;GO:0000725,GO:0005634,GO:0043138;GO:0005524;GO:0003677;GO:0008047
P38247,GO:0016237;GO:0015031;GO:0007165,GO:0005737;GO:0034448;GO:0000329;GO:0016021;GO:0031902,GO:0042802
P32608,GO:0035753;GO:0031930;GO:1900008;GO:0001079;GO:0045944;GO:0006606;GO:0034504;GO:0006357,GO:0005737;GO:0046695;GO:0035327,GO:0051219
Q12239,GO:0006890,GO:0005794;GO:0000139;GO:0016021,
Q06010,GO:0071432;GO:0051603;GO:0019236,GO:0019898;GO:0005739,GO:0046872;GO:0004222
P54857,GO:0019433,GO:0005739,GO:0004806
Q08963,GO:0000398,GO:0005737;GO:0005686;GO:0071004,GO:0030620
P34163,GO:0044255;GO:0016042;GO:0016125,GO:0016021;GO:0005811,GO:0004771
Q12383,GO:0030488,GO:0005737;GO:0005634,GO:0046872;GO:0052666;GO:0106050
P43612,GO:0000082;GO:0043666,GO:0005737,GO:0019903
Q01852,GO:0030150,GO:0031314;GO:0005743;GO:0005739;GO:0001405;GO:0005744,GO:0005524;GO:0051087;GO:0030674
P39965,GO:0006433,GO:0005739,GO:0005524;GO:0004827
P40084,GO:0070940;GO:0006366,GO:0005737;GO:0005634,GO:0046872;GO:0043175;GO:0008420
Q6WNK7,GO:0016578;GO:0051568;GO:0034729;GO:0071033;GO:0016973;GO:0045944;GO:0000973;GO:0032880;GO:0006357;GO:0006368,GO:0071819;GO:0005643;GO:0005654;GO:0000932;GO:0000124;GO:0070390,GO:0003682;GO:0008047;GO:0003713
Q04477,GO:0007049;GO:0051301;GO:0098653;GO:0007059,GO:0000778;GO:0031262,GO:0042802
P36015,GO:0006888;GO:0006891;GO:0042144;GO:0006906,GO:0005829;GO:0005768;GO:0000324;GO:0005794;GO:0016021;GO:0016020;GO:0005739;GO:0005886;GO:0031201,GO:0016409;GO:0005484
A0A023PZD0,,GO:0016021,
A0A023PYE4,,GO:0016021,
P19262,GO:0006103;GO:0033512;GO:0006099,GO:0042645;GO:0009353;GO:0005739,GO:0004149
P50276,GO:0042883;GO:1903692;GO:0015821;GO:0000101,GO:0071944;GO:0000324;GO:0016021;GO:0005886,GO:0015179;GO:0000102
Q02630,GO:0006406;GO:0006999;GO:0016973;GO:0000973;GO:0006606;GO:0000055;GO:0006405;GO:0034398;GO:0006409,GO:0031965;GO:0005643;GO:0044613;GO:0044614,GO:0051117;GO:0042802;GO:0008139;GO:0003723;GO:0017056
P14907,GO:0007049;GO:0097064;GO:0006607;GO:0016973;GO:0006606;GO:0000055;GO:0000056;GO:0006409,GO:0031965;GO:0034399;GO:0005643;GO:0044613;GO:0044615,GO:0005543;GO:0017056
P40477,GO:0097064;GO:0006607;GO:0031081;GO:0016973;GO:0006611;GO:0000055;GO:0000056,GO:0031965;GO:0005643;GO:0044613;GO:0044614;GO:0005634,GO:0000774;GO:0017056;GO:0003714
Q06668,,GO:0016021;GO:0005740;GO:0005743;GO:0005739,GO:0008757
Q03760,GO:0051237;GO:0051028,GO:0031965,GO:0008270
P50896,,GO:0005737;GO:0005739;GO:0000932,GO:0003729
P40965,GO:0006298;GO:0007131;GO:0000712,GO:0062128;GO:0000228;GO:0000795,GO:0005524;GO:0008094;GO:0030983
P46151,GO:0009086;GO:0035999,GO:0005829,GO:0071949;GO:0004489
P32383,GO:0032958;GO:0032959;GO:0048015;GO:0009395;GO:0034501;GO:0001402,GO:0000775;GO:0000778,GO:0005509;GO:0004435
P43682,GO:0006891;GO:0015031;GO:0006906,GO:0000138;GO:0030173;GO:0031201,GO:0005484
P42948,GO:0006325,,GO:0046872
P36124,GO:0016575;GO:0051321;GO:0045835;GO:0006355,GO:0070210;GO:0034967,GO:0046872;GO:0035064
P42900,GO:0009060;GO:0032543,GO:0016021;GO:0005743;GO:0042645;GO:0005739,
Q9URQ3,GO:0006400;GO:0002100,GO:0005737;GO:0005634;GO:0052718,GO:0052717;GO:0008251
Q12074,GO:0015940;GO:0006596;GO:0008295,GO:0005737;GO:0005634,GO:0004766
Q05506,GO:0006420;GO:0032543,GO:0005829;GO:0005739,GO:0004814;GO:0005524
P40040,GO:0016973;GO:0022618;GO:0006368,GO:0005634,GO:0003682;GO:0003690;GO:0003723
P32342,GO:0006614,GO:0005634;GO:0005786,GO:0003723
P53040,GO:0006325;GO:0016573;GO:0006357;GO:0051123;GO:0006366,GO:0005829;GO:0005634;GO:0000124;GO:0046695;GO:0005669,GO:0003682;GO:0042802;GO:0060090;GO:0046982;GO:0001102
P0CX36,GO:0002181;GO:0006412,GO:0030686;GO:0022627,GO:0019843;GO:0003735
P20606,GO:0006888;GO:0006886;GO:0061024;GO:0000266;GO:0007006;GO:0006998;GO:0070863;GO:0003400;GO:0016050,GO:0030127;GO:0005783;GO:0070971;GO:0005789;GO:0000139;GO:0044233;GO:0005739,GO:0003924;GO:0005525
P32855,GO:0048309;GO:0006887;GO:0048313;GO:0006893;GO:0006612;GO:0006904;GO:0090522,GO:0005623;GO:0005935;GO:0005934;GO:0005737;GO:0000145;GO:0000131;GO:0043332;GO:0005886;GO:0005628,
A0A023PZE4,,,
P36009,GO:0000462;GO:0045943;GO:0042254;GO:0031167,GO:0005730;GO:0005654,GO:0005524;GO:0042802;GO:0003723;GO:0003724
P49095,GO:0019464;GO:0006730,GO:0005960;GO:0005739,GO:0016594;GO:0004375;GO:0030170
P00359,GO:0006915;GO:0006094;GO:0006096;GO:0015886;GO:0072593,GO:0005737;GO:0005829;GO:0009277;GO:0005811;GO:0005739;GO:0005634;GO:0005886,GO:0004365;GO:0051287;GO:0050661;GO:0003723
P26793,GO:0006286;GO:0006260;GO:0043137;GO:0006303;GO:0000734;GO:0035753;GO:0001302,GO:0005737;GO:0005829;GO:0005739;GO:0005730;GO:0005654;GO:0005634,GO:1904162;GO:0008409;GO:0017108;GO:0003677;GO:0048256;GO:0000287
P53279,GO:0070941;GO:0072659;GO:0015031,GO:0071944;GO:0032126;GO:0016021;GO:0045121;GO:0005886,
P08431,GO:0033499,GO:0005737,GO:0008108;GO:0008270
P07702,GO:0019878,GO:0005737,GO:0004043;GO:0031177
Q05931,GO:0006879;GO:0034605;GO:0034620;GO:0051085;GO:0016226;GO:0106034;GO:0097428;GO:0042026;GO:0006986,GO:0005623;GO:0005737;GO:0005759;GO:0005739,GO:0016887;GO:0042623;GO:0005524;GO:0031072;GO:0051787;GO:0044183;GO:0051082
P42939,GO:1904669;GO:0032509;GO:0031333;GO:0006623,GO:0005829;GO:0005768;GO:0000813;GO:0031902,GO:0043130
P38192,,GO:0016021,
Q06109,GO:0000002;GO:0097745,GO:0099617;GO:0005739,
P53824,GO:0006520;GO:0042823;GO:0008615;GO:0009228;GO:0042819,,GO:0016843;GO:0003922;GO:0036381
P36421,GO:0006437,GO:0005737;GO:0010494;GO:0005634,GO:0005524;GO:0003729;GO:0004831
Q05024,,GO:0005737;GO:0005730;GO:0005634,
P23248,GO:0002181;GO:0000462,GO:0030686;GO:0005829;GO:0022627,GO:0003735
P32568,GO:0030003;GO:0042493;GO:0055085;GO:1990961,GO:0005623;GO:0071944;GO:0016021;GO:0005739;GO:0005886,GO:0016887;GO:0042626;GO:0008559;GO:0005524
P50110,GO:0070096;GO:0015914;GO:0045040,GO:0016021;GO:0005741;GO:0005739;GO:0001401,
Q12455,GO:0015940;GO:0006596;GO:0006597,GO:0005737,GO:0016768
P47030,GO:0006914;GO:0009267;GO:0031505;GO:0048017;GO:0006629,GO:0000407,
P17121,GO:0090038;GO:0035024;GO:0043547;GO:0032956;GO:0060237;GO:0007165,GO:0005938;GO:0005856,GO:0005096
Q03012,GO:0006348;GO:0051568;GO:0045893;GO:1903341;GO:0006355,GO:0000781;GO:0005829;GO:0005634;GO:0048188,GO:0003682;GO:0046872;GO:0035064
P32580,GO:0000372;GO:0006264;GO:0000965;GO:0000957;GO:0006401;GO:0090503,GO:0045025;GO:0005759;GO:0005739,GO:0005524;GO:0003723;GO:0003724
P09733,GO:0045143;GO:0007017;GO:0000226;GO:0000278;GO:0000070;GO:0030473;GO:0098863,GO:0005737;GO:0005881;GO:0005828;GO:0005874;GO:0005880;GO:0034399;GO:0005634;GO:0005827;GO:0045298,GO:0003924;GO:0005525;GO:0005200
P38429,GO:0061188;GO:0061186;GO:0031939;GO:0016479;GO:2000219;GO:0045944;GO:0061408;GO:0006355,GO:0000118;GO:0033698;GO:0070210,GO:0004407
Q03799,GO:0032543,GO:0022627;GO:0005763;GO:0005739,GO:0003735
Q12000,GO:0002181,GO:0005737;GO:0005829,GO:0046872;GO:0003729
P46676,GO:0030466;GO:0010944;GO:0000122;GO:0032298;GO:0030435,GO:0005634,GO:0001227;GO:0003688;GO:0000978;GO:0043565
P53598,GO:0009142;GO:0006105;GO:0006104;GO:0006099,GO:0005829;GO:0042645;GO:0005739,GO:0048037;GO:0004550;GO:0000166;GO:0004775
P47032,GO:0015918,GO:0005783;GO:0005576;GO:0005615;GO:0000324;GO:0005635,GO:0015485;GO:0000287;GO:0032934
Q12202,GO:0030476,GO:0005737;GO:0005628,
P00635,GO:0016036;GO:0006796;GO:0008361,GO:0071944;GO:0005576;GO:0009277,GO:0003993;GO:0017111;GO:0047429
P37012,GO:0006874;GO:0030003;GO:0019388;GO:0019255;GO:0051156;GO:0006006;GO:0005978;GO:0005992;GO:0006011,GO:0005623;GO:0005737;GO:0005829,GO:0000287;GO:0004614
Q06593,GO:0045454;GO:0006857;GO:0051515;GO:0015031;GO:0061091;GO:0044088;GO:0042144,GO:0005623;GO:0000324;GO:0000138;GO:0005887;GO:0005777;GO:0005886,GO:0035673
Q99210,GO:0009117,GO:0005737,GO:0035529;GO:0047429
P07283,GO:0009298;GO:0006013;GO:0006487;GO:0045047,GO:0010494;GO:0005829,GO:0004615
Q12117,,GO:0005933;GO:0005783;GO:0016021;GO:0005739;GO:0005886,GO:0005216
P22353,GO:0032543,GO:0005762;GO:0005739,GO:0003735
P53599,GO:0032147;GO:0071474;GO:0000161;GO:0007234;GO:2000251;GO:0046777;GO:0006468;GO:0023014,GO:0005938;GO:0005935;GO:0005934;GO:0005737;GO:0005829;GO:0000131,GO:0003779;GO:0005524;GO:0004709;GO:0004674
P38707,GO:0006421,GO:0005829,GO:0004816;GO:0005524;GO:0003676
P0CX31,GO:0002181;GO:0000462,GO:0022627;GO:0005739,GO:0003735
P35208,GO:0000183;GO:0030466;GO:0006348;GO:0006281;GO:0016573;GO:0097043;GO:0010507;GO:0000122,GO:0000781;GO:0005634,GO:0004402;GO:0032931;GO:1990841;GO:0043565;GO:0016747
Q06177,,GO:0005737;GO:0005739;GO:0005634,
Q08817,GO:0007118;GO:0007049;GO:0000920;GO:0007165,GO:0005933;GO:0005737;GO:0000131;GO:0043332,
P09734,GO:0045143;GO:0007017;GO:0000226;GO:0000278;GO:0000070;GO:0030473;GO:0098863,GO:0005737;GO:0005881;GO:0005828;GO:0005874;GO:0005880;GO:0005819;GO:0045298,GO:0003924;GO:0005525;GO:0005200
P25302,GO:0061408;GO:0071931;GO:0000083,GO:0030907;GO:0000790;GO:0033309,GO:0001228;GO:0042802;GO:0043565
P38072,GO:0045454;GO:0006878;GO:0034599;GO:0006825;GO:0033617,GO:0005623;GO:0016021;GO:0005743;GO:0031966;GO:0005739,GO:0005507
P53215,GO:0006400;GO:0008033,GO:0005737;GO:0005634,GO:0005525;GO:0042802;GO:0000287;GO:0008193
Q05937,,GO:0005634,GO:0046872;GO:0043565
P39015,GO:0043066;GO:0043558;GO:0000723;GO:0031929;GO:0006414,GO:0005737;GO:0005634;GO:0048471;GO:0005844,GO:0003677;GO:0043022;GO:0042162;GO:0045142
Q08553,GO:0006398;GO:0006378,GO:0005847;GO:0005634,GO:0008409;GO:0004521;GO:0003723
P40042,,,
P21801,GO:0009060;GO:0045333;GO:0022904;GO:0006099,GO:0031966;GO:0005749;GO:0005739,GO:0051537;GO:0051538;GO:0051539;GO:0009055;GO:0046872;GO:0008177
P50278,GO:0005975;GO:0009051;GO:0006409,GO:0005737;GO:0005634,GO:0017057
P40548,GO:0006999;GO:0006457,GO:0005789;GO:0016021;GO:0005739;GO:0005635;GO:0031965,GO:0051087;GO:0043022
P47166,,GO:0005783;GO:0005794,GO:0017137
Q12109,GO:0006436,GO:0005737,GO:0005524;GO:0004830
Q02774,GO:0090114;GO:0006888;GO:0006457;GO:0015031,GO:0005783;GO:0000139;GO:0030176;GO:0043332,GO:0051082
P32343,GO:0043328;GO:0016192,GO:0005783;GO:0010008;GO:0000324;GO:0016021;GO:0005774,
P53313,GO:0030036;GO:0007049;GO:0042273;GO:0000055;GO:0007089,GO:0005730;GO:0005634,
Q08968,GO:0045454;GO:0018117,GO:0005623;GO:0005739,GO:0005524;GO:0046872;GO:0070733
Q05567,GO:0001667;GO:0019722;GO:0019752;GO:0009267;GO:0030149;GO:0006665,GO:0032541;GO:0005783;GO:0097038,GO:0016831;GO:0042802;GO:0030170;GO:0008117
P14693,GO:0070096;GO:0045040,GO:0005741;GO:0005739;GO:0001401,
P38960,GO:0032211;GO:0016233,GO:1990879,GO:0043047
Q04673,GO:0006289;GO:0070816;GO:0006357;GO:0006366,GO:0000112;GO:0000439;GO:0005675,GO:0003676;GO:0061630;GO:0008270
P40308,GO:0007114;GO:0044255;GO:0019433,GO:0016021;GO:0005811,GO:0071618;GO:0004806
P38989,GO:0051301;GO:0010032;GO:0051307;GO:0007076;GO:0000070;GO:1903342;GO:0070550;GO:0007130;GO:0070058,GO:0005739;GO:0000799,GO:0003680;GO:0005524;GO:0003682;GO:0000217;GO:0003690
P40150,GO:0051083;GO:0042149;GO:0034605;GO:0034620;GO:0051085;GO:0002181;GO:0042026;GO:0006450;GO:0006986;GO:0000054;GO:0006364;GO:0006452;GO:0006415;GO:0016192,GO:0005737;GO:0010494;GO:0005829;GO:0005634;GO:0005886;GO:0005844,GO:0016887;GO:0042623;GO:0005524;GO:0031072;GO:0051787;GO:0044183;GO:0051082
Q12369,GO:0051301;GO:0000086;GO:0051225;GO:0030474,GO:0005737;GO:0005825;GO:0000922,
P0C0T4,GO:0002181,GO:0022627,GO:0003735
P53299,GO:0072321;GO:0045039,GO:0005743;GO:0005758;GO:0042719;GO:0005739,GO:0046872;GO:0140318
P50088,,GO:0005783;GO:0016021;GO:0031966;GO:0005739,
P47002,GO:0016540;GO:0016485;GO:0043200,GO:0019897,GO:0004252
P39954,GO:0006730;GO:0006656;GO:0019510;GO:0033353;GO:0006641,GO:0005737;GO:0005829,GO:0004013
P23255,GO:0045944;GO:0051123;GO:0006366;GO:0006367,GO:0005669,GO:0003682;GO:0044212
Q12216,GO:0007059;GO:1990683;GO:0060969;GO:0016925,GO:0005737;GO:0000790;GO:0005634,GO:0003690;GO:0019789;GO:0008270
P35202,GO:0009229,GO:0005737,GO:0005524;GO:0016301;GO:0030975;GO:0004788
Q04183,GO:0034498;GO:0006891;GO:0043087,GO:0005829;GO:0005769;GO:0005802;GO:1990071,
P38857,GO:0006850,GO:0031305;GO:0005739,GO:0050833
P40314,GO:0006620,GO:0030015;GO:0005829;GO:0005854;GO:0005634;GO:0042788,GO:0051082
P40959,GO:0097320;GO:0006623;GO:0042147,GO:0005737;GO:0005829;GO:0005768;GO:0016020;GO:0005634,GO:0032266
Q12008,GO:0006096,GO:0005737,GO:0004619
P40528,GO:0016036;GO:0006817;GO:0007165,GO:0000329;GO:0005794;GO:0016021;GO:0005739;GO:0005886,GO:0000822;GO:0015114
P32914,GO:0006370;GO:0006325;GO:0006342;GO:0007059;GO:0008298;GO:0000398;GO:0010507;GO:2001208;GO:0032968;GO:2001209;GO:2000232;GO:0006355;GO:0090262,GO:0032044;GO:0000776,GO:0044877;GO:0000182;GO:0001181;GO:0000993;GO:0003727;GO:0008270
P38957,GO:0000730;GO:0070987;GO:0043007;GO:0000725,GO:0005634;GO:0097196;GO:0035861,
P53230,GO:0032049;GO:0016024,GO:0031314;GO:0005759;GO:0005739,GO:0004605
P35177,GO:0034622;GO:0006325;GO:0000747;GO:0016573;GO:0006357,GO:0005739;GO:0000790;GO:0000124;GO:0046695,GO:0046982;GO:0005198
P33303,GO:0015741;GO:0015744,GO:0016021;GO:0005743;GO:0005739,GO:0005469
P38810,GO:0090110;GO:0006886,GO:0071944;GO:0030127;GO:0005783;GO:0005789;GO:0000139;GO:0043332,GO:0005048;GO:0008270
P53733,GO:0032543;GO:0000028,GO:0005763;GO:0005739,GO:0003723;GO:0003735
P46674,GO:0030029;GO:0000278;GO:0031124;GO:0006406;GO:0071033;GO:0000973;GO:0006611;GO:0042274;GO:0006283,GO:0005737;GO:0044614;GO:0005634;GO:0070390,
P35207,GO:0051607;GO:0070478;GO:0034427;GO:0070481;GO:0006417;GO:0006401,GO:0005737;GO:0055087,GO:0005524;GO:0003677;GO:0003729;GO:0003724
Q08204,GO:0051304;GO:0006281;GO:0000724;GO:0016925;GO:0000725;GO:0071139;GO:0007062,GO:0005634;GO:0030915,GO:0016887;GO:0005524;GO:0003684;GO:0003697
P38714,GO:0006420;GO:0070144;GO:0032543,GO:0005759;GO:0005739,GO:0004814;GO:0005524
Q04398,,GO:0005783;GO:0016021,
P46677,GO:0045944;GO:0051123;GO:0006366,GO:0005829;GO:0005634;GO:0005669,GO:0003682;GO:0004402;GO:0060090;GO:0046982;GO:0043565;GO:0017025
P53322,GO:0046942;GO:1903222,GO:0071944;GO:0000324;GO:0005887;GO:0031224;GO:0005739,GO:0046943;GO:0022857
Q05021,GO:0006357;GO:0051123;GO:0006366,GO:0005634;GO:0005669,GO:0035035;GO:0046982;GO:0003713;GO:0008134;GO:0044212
P23254,GO:0006098,GO:0005737;GO:0005829;GO:0005634,GO:0046872;GO:0004802
P33890,GO:0071497;GO:0031505,GO:0031225;GO:0071944;GO:0005576;GO:0009277;GO:0000324,GO:0005199
P39007,GO:0043687;GO:0006487;GO:0018279,GO:0005783;GO:0016021;GO:0008250,GO:0004579;GO:0046872
P24867,GO:0007049;GO:0051301;GO:0016239;GO:0000079;GO:0032878;GO:0031106,GO:0000307;GO:0005737;GO:0000131;GO:0005634,GO:0016538;GO:0019901
Q12477,GO:0051301;GO:0032878;GO:0000083,GO:0005935;GO:0000307;GO:0000131,GO:0016538;GO:0019901
P16603,GO:0006696,GO:0005829;GO:0005789;GO:0016021;GO:0005741;GO:0005739;GO:0005886,GO:0009055;GO:0050660;GO:0010181;GO:0050661;GO:0003958;GO:0016491
P15424,GO:0000373;GO:0000372;GO:0000963;GO:0006397;GO:0006417;GO:0034337;GO:0006392,GO:0005759;GO:0005739,GO:0005524;GO:0003729;GO:0003723;GO:0003724;GO:0033592
P53718,GO:0071930,GO:0005737;GO:0030907;GO:0005634,GO:0070491;GO:0008134
Q02204,GO:0032543,GO:0005762;GO:0005739,GO:0003735
P02406,GO:0002181,GO:0022625;GO:0005634,GO:0003723;GO:0003735
P27999,GO:0006974;GO:0001193;GO:0006379;GO:0001172;GO:0006366;GO:0006283;GO:0006367,GO:0005730;GO:0005665,GO:0003899;GO:0003676;GO:0008270
P14126,GO:0002181;GO:1990145;GO:0000027;GO:0006364,GO:0022625,GO:0003735
P03871,GO:0030543;GO:0034613,GO:0005634,GO:0042802
Q9ZZV8,,GO:0005739,
Q03305,GO:0018216,GO:0005737;GO:0005634,GO:0019702;GO:0008757
P40100,GO:0035351,GO:0000324;GO:0016021;GO:0005886,
P40345,GO:0006672;GO:0019915;GO:0019432,GO:0005783;GO:0005789;GO:0016021;GO:0005811;GO:0097038,GO:0008374;GO:0046027
P39683,GO:0000183;GO:0006348;GO:0009435;GO:0034355;GO:0019358;GO:0001302,GO:0000781;GO:0005829;GO:0005634,GO:0004514;GO:0004516
P46955,GO:0031505;GO:0042776,GO:0009986;GO:0009277;GO:0000324;GO:0005739,
P38230,GO:0034599,GO:0005737;GO:0005634,GO:0032440;GO:0035925;GO:0003960;GO:0008270
P15380,GO:0003333;GO:0015812;GO:0015804;GO:0015824,GO:0016021;GO:0005886,GO:0015171;GO:0015193;GO:0015175
P53295,GO:0002181;GO:1903833,GO:0005737,GO:0005525
P47104,GO:0045022;GO:0015031;GO:0043254;GO:0007035,GO:0005623;GO:0005737;GO:0005829;GO:0012505;GO:0019898;GO:0043291,
Q04418,GO:0006366,GO:0005737,
P21524,GO:0009263;GO:0006260,GO:0005737;GO:0005634;GO:0005971,GO:0005524;GO:0042802;GO:0000166;GO:0004748
Q12188,GO:0006302;GO:0051177;GO:0071459;GO:0007131;GO:0007062;GO:0007130,GO:0008278;GO:0000794;GO:0000780,GO:0003682
Q06511,GO:0000466;GO:0000463,GO:0005730;GO:0005634;GO:0030687,
Q04031,GO:0006364,GO:0005737;GO:0005730,GO:0003723
P05319,GO:0002181;GO:0006414,GO:0022625,GO:0030295;GO:0003735
Q04307,GO:0006386;GO:0042779;GO:0042797,GO:0005730;GO:0005654;GO:0005666,GO:0003899;GO:0003676;GO:0008270
P36523,GO:0032543;GO:0006396,GO:0005762;GO:0005739,GO:0004525;GO:0003735
Q04373,GO:0017148;GO:0042273,GO:0005934;GO:0015934;GO:0005730;GO:0005634;GO:0030687,GO:0003730;GO:0048027;GO:0003729;GO:0000900
Q08273,GO:0051301;GO:0006281;GO:0000082;GO:0045116;GO:0031146;GO:0006511,GO:0031462;GO:0031463;GO:0080008;GO:0031467;GO:0035361;GO:0031461;GO:0005737;GO:0043224;GO:0005634;GO:0019005,GO:0097602;GO:0019788;GO:0030674;GO:0061630;GO:0008270
P29539,GO:0007049;GO:0030466;GO:0000729;GO:0006270;GO:0032297;GO:0101018;GO:0070198;GO:0097752;GO:0016233;GO:0000723,GO:0000784;GO:0005634;GO:0070187,GO:0042162
Q12090,GO:0000467;GO:0043628;GO:0034476,GO:0005737;GO:0005634,GO:0008408;GO:0000175;GO:0004527;GO:0003676
Q03446,GO:0016192,GO:0005737;GO:0000324;GO:0000329;GO:0016021;GO:0031982,
P42950,GO:0006357;GO:0030435,GO:0005634,GO:0003700;GO:0000981;GO:0043565;GO:0008270
P38861,GO:0000055,GO:0005737;GO:0005829;GO:0005654;GO:0005634,GO:0070180;GO:0043023
P32860,GO:0006880;GO:0016226;GO:0106035;GO:0097428,GO:0005623;GO:0005759;GO:0005739,GO:0051539;GO:0005506
Q12252,,GO:0005783;GO:0000324;GO:0016021;GO:0005886,GO:0005227
Q12310,GO:0035556;GO:0031138;GO:0046020;GO:0006468,GO:0005737;GO:0005634,GO:0005524;GO:0004672;GO:0004674
P38291,GO:0034965;GO:0000294;GO:0006364;GO:0008033,GO:0005655;GO:0000172;GO:0005697,GO:0004526;GO:0003723
P87286,,,
P28273,GO:0006749,GO:0005737;GO:0005829,GO:0017168;GO:0005524
P52593,GO:0031990;GO:0006999;GO:0006606,GO:0031965;GO:0005643;GO:0044611,GO:0017056
P53191,,GO:0005739;GO:0005774,GO:0046872
Q04004,GO:0009968;GO:0007329;GO:0006457,GO:0005737,GO:0031683
P53170,GO:0015976;GO:0006006;GO:1904183;GO:0018105;GO:0006468,GO:0005759;GO:0005739,GO:0005524;GO:0004672;GO:0004740
P38860,GO:0002181,GO:0019898;GO:0005743,GO:0003924;GO:0005525;GO:0043022
P38232,GO:0043666,GO:0000164,GO:0019888
Q12221,GO:0000288,GO:0005737,GO:0003729
Q07807,GO:0009060;GO:0008298;GO:0051646;GO:0007005;GO:0000956;GO:0000288;GO:0045727;GO:0010795,GO:0005737;GO:0032473,GO:0003729
P0CX82,GO:0002181,GO:0022625,GO:0003723;GO:0003735
Q9ZZW3,,GO:0005739,
P32327,GO:0006094;GO:0006090,GO:0005737;GO:0005829,GO:0005524;GO:0009374;GO:0046872;GO:0004736
P36105,GO:0002181;GO:0016236;GO:0042273,GO:0022625,GO:0003723;GO:0003735
Q03713,GO:0097250;GO:0033617,GO:0031305;GO:0005746;GO:0005739,
P33442,GO:0002181;GO:0000462,GO:0030686;GO:0005829;GO:0022627,GO:0003735
P53075,GO:0030476,GO:0005783;GO:0005739,
P53277,GO:0000398,GO:0005829;GO:0005634;GO:0000974;GO:0071006;GO:0071007;GO:0071008;GO:0071004,
P39928,GO:0006469;GO:0007234;GO:0018106;GO:0046777,GO:0071944;GO:0005887;GO:0005886,GO:0005524;GO:0009927;GO:0046872;GO:0005034;GO:0000155;GO:0004673
Q08199,GO:0006616,GO:0005737;GO:0005783;GO:0005788,GO:0000774
Q06451,GO:0006855;GO:0000296,GO:0071944;GO:0000329;GO:0005887;GO:0005886,GO:0015297;GO:0000297
P36029,GO:0006865;GO:0015846,GO:0005783;GO:0005794;GO:0000139;GO:0016021,GO:0015203
Q12104,GO:0071032;GO:0006368,GO:0005737;GO:0005634,GO:0004521
Q03525,GO:0042274,GO:0005730,
Q12469,GO:0032147;GO:0010629;GO:1990872;GO:0006468;GO:0000920;GO:0023014;GO:0035376,GO:0005737;GO:0005634;GO:0005886,GO:0005524;GO:0004672;GO:0004674
